"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"x9"	"x10"	"x11"	"x12"	"x13"	"x14"	"x16"	"x17"	"x18"	"x19"	"x21"	"x22"	"x23"	"x24"	"Y"
"65"	13,02	0,78	0,7	0,039	3,43	7,33	18,44	1,56	12,8	18,29	41,75	0,6	16,91	5,49	347	17,25	1377	68,44	0,173	26,12987013	1	1	2012
"66"	20,6	0,78	0,7	0,041	3,5	6,82	18,8	0,82	19,8	15,9	42,72	0,12	16,9	5,22	660	38,6	1141	66,8	0,157	21,63291139	3	1	1709
"67"	19,24	0,73	0,71	0,038	3,41	11,54	11,49	0,3	12,9	19,44	43,2	0,6	16,65	4,8	330	16,5	1294	64,7	0,166	25,32911392	3	3	2001
"68"	19,56	0,74	0,71	0,038	3,25	13,9	11,86	0,7	11,73	24,11	42,1	0,79	16,84	5,15	535	35,2	1005	66,2	0,124	31,53623188	3	4	2176
"69"	25,02	0,88	0,66	0,041	3,33	10,7	37	0,65	16,31	17,56	44	0,44	17,19	5,84	786	39,8	1302	70,8	0,12	25,90140845	1	4	1839
"70"	25	0,95	0,63	0,041	3,32	17,04	53,53	1,3	9,66	16,37	43,87	0,62	17,62	4,62	852	48,1	1283	72,4	0,158	13,78947368	1	4	1572
"71"	31,4	0,91	0,38	0,044	3,05	6,89	47,73	35,54	21	9,49	46,89	0,13	19,06	4,51	482	33,66	1081	75,49	0,143	15,08421053	2	1	1433
"72"	33,8	0,91	0,28	0,046	3,16	5,7	52,4	55,81	33,05	19,8	53,91	0,14	19,1	4,66	424	29,6	1127	78,65	0,116	19,35135135	2	3	1432
"73"	21,84	0,86	0,17	0,04	2,98	7,39	34,46	93,28	16,92	27,49	43,73	0,43	18,21	5,34	989	60,16	1642	99,88	0,162	22,52054795	1	1	1644
"74"	36,7	0,83	0,3	0,035	3,06	4,41	32,51	67,29	6,08	16,03	35,1	0,79	17,5	6,17	1001	65,8	1268	84	0,026	21,57142857	1	4	1510
"75"	17,65	0,87	0,39	0,039	3,13	0,6	38,2	42,87	15,07	22,1	36,27	0,7	18,07	4,96	1280	39,51	2886	89,1	0,147	15,72815534	1	3	3240
"76"	16,5	0,872817578	0,624324225	0,036924668	3,015598284	9,98	40,14	4,54	10,04	24,52	38,78	0	16,87776084	5,703341176	976	35,7	2296	84	0,106	18,22	3	1	2733
"77"	29	0,85	0,65	0,037	3,13	6,91	36	0,54	12,73	25,69	36,45	0	17,54	5,45	497	20,4	1840	75,6	0,018	16,31543624	3	5	2431
"78"	25	0,82	0,76	0,041	3,17	3,03	27,83	0,07	15,42	23,88	37,35	0,88	17,2	5,1	1088	40,23	2061	76,22	0,076	22,53333333	2	1	2704
"79"	25,7	0,84	0,75	0,041	3,22	1,7	35,23	1,84	17,8	18,76	35	0,93	17,43	4,53	1402	67,08	1681	80,43	0,079	19,17431193	2	5	2090
"80"	20	0,88	0,73	0,042	3,14	2,17	42,91	1,59	16,98	17,02	31,51	0,81	17,45	4,59	597	32,36	1416	77,75	0,015	17,90291262	1	4	1844
"81"	22	0,84	0,72	0,042	3,11	2,64	31,46	0,14	21,32	20,14	31,25	1,42	18,55	4,55	824	55,71	1289	87,15	0,055	21,69117647	1	4	1475
"82"	31,85	0,72	0,7	0,043	3,21	1,7	7,46	0	14,65	24,57	34,12	1,32	18,18	4,51	547	51,7	880	83,18	0,046	26,45	1	1	1058
"83"	27	0,81	0,708	0,041	3,17	5,3	25,75	0	14,65	25,69	34,7	0,94	18,75	5,07	813	40,15	1755	86,7	0,101	17,00840336	3	3	2024
"84"	19,5	0,78	0,63	0,041	3,37	0,71	19,34	1,2	15,52	27,02	28,27	0,98	19,44	4,48	845	46,02	1628	88,67	0,124	13,70149254	3	1	1836
"85"	24,5	0,86	0,64	0,039	3,17	1,49	35,84	4,18	13,53	21,97	26	0,43	18,14	4,73	429	26,62942272	1243	77,15704531	0,061	14,91666667	1	5	1611
"86"	28,5	0,95	0,61	0,038	3,15	5,9	56,53	9,69	11,61	30,1	23,8	1,2	18,39	4,24	863,2	41,3	1829	91	0,134	19,35185185	2	1	2090
"87"	34,22	0,85	0,64	0,034	3,08	1,92	34,82	4,08	5,4	25,59	23,8	0,94	17,9	4,11	1135	46,4	2117	86,5	0,115	18,25373134	2	5	2446
"88"	33,5	0,79	0,64	0,035	3,15	2,22	26,56	6,01	4,46	24,8	27,57	0,62	17,54	4,24	1015	44,64	2045	89,93	0,087	13,29824561	1	5	2274
"89"	24,8	0,76	0,7	0,031	3,28	4,27	14,49	0,06	1,51	17,52	23,9	2,6	18,28	4	1128	34,5	2737	83,8	0,079	16,49494949	3	1	3266
"90"	30	0,77	0,7	0,031	3,21	13,271878	20,22	1,18	6,92	20,82	27,5	4,71	17,72	4,23	745	35,1	1641	88,5	0,118	13,6025641	3	1	2122
"91"	14,1	0,79	0,68	0,031	3,25	2,7	21,66	0,31	1,86	14,1	22,98	0,31	17,34	4,27	476	21,1	1731	76,63	0,119	16,98496241	1	5	2259
